date,category,product,region,unit,price
17-04-2026,rau_qua,Bưởi da xanh,Hà Nội,85,85
17-04-2026,rau_qua,Cà chua,Hà Nội,12,12
17-04-2026,rau_qua,Cà rốt,Hà Nội,20,20
17-04-2026,rau_qua,Dưa chuột/dưa chuột,Hà Nội,20,20
17-04-2026,rau_qua,Dưa hấu,Hà Nội,18,18
17-04-2026,rau_qua,Dưa lưới vàng,Hà Nội,40,40
17-04-2026,rau_qua,Khoai tây,Hà Nội,15,15
17-04-2026,rau_qua,Lê,Hà Nội,50,50
17-04-2026,rau_qua,Mướp hương,Hà Nội,12,12
17-04-2026,rau_qua,Ổi,Hà Nội,35,35
17-04-2026,rau_qua,Rau cải mơ,Hà Nội,20,20
17-04-2026,rau_qua,Rau cải ngọt,Hà Nội,20,20
17-04-2026,rau_qua,Rau dền,Hà Nội,12,12
17-04-2026,rau_qua,Rau mùng tơi,Hà Nội,10,10
17-04-2026,rau_qua,Rau muống,Hà Nội,10,10
17-04-2026,rau_qua,Rau ngót,Hà Nội,13,13
17-04-2026,rau_qua,Thanh long ruột trắng,Hà Nội,45,45
17-04-2026,rau_qua,Xoài Cát Chu,Hà Nội,45,45
16-04-2026,rau_qua,Bắp cải,Sơn La,15.000,15.000
16-04-2026,rau_qua,Bắp cải thảo,Sơn La,10.000,10.000
2,rau_qua,12345678910...,1,3,3
3,rau_qua,1,2,4,4
